group,text,variant,face,px,w,h,ink,l1,l2,l3,partial
conditions,José Zoë 12:34 µg ±5°,hard,Poppins-Regular.ttf,18,186,19,701,0,0,701,0.0
conditions,José Zoë 12:34 µg ±5°,ref,Poppins-Regular.ttf,18,186,19,954,252,307,395,0.586
conditions,José Zoë 12:34 µg ±5°,fringe170,Poppins-Regular.ttf,18,186,19,807,0,383,424,0.475
conditions,José Zoë 12:34 µg ±5°,ref_light,Poppins-Regular.ttf,18,196,19,931,246,272,413,0.556
conditions,José Zoë 12:34 µg ±5°,hard,Poppins-SemiBold.ttf,18,190,20,999,0,0,999,0.0
conditions,José Zoë 12:34 µg ±5°,ref,Poppins-SemiBold.ttf,18,192,20,1229,234,296,699,0.431
conditions,José Zoë 12:34 µg ±5°,fringe170,Poppins-SemiBold.ttf,18,191,19,1085,0,345,740,0.318
conditions,José Zoë 12:34 µg ±5°,ref_light,Poppins-SemiBold.ttf,18,199,20,1197,231,244,722,0.397
conditions,José Zoë 12:34 µg ±5°,hard,Poppins-Regular.ttf,22,226,23,1021,0,0,1021,0.0
conditions,José Zoë 12:34 µg ±5°,ref,Poppins-Regular.ttf,22,227,23,1357,331,360,666,0.509
conditions,José Zoë 12:34 µg ±5°,fringe170,Poppins-Regular.ttf,22,226,23,1167,0,446,721,0.382
conditions,José Zoë 12:34 µg ±5°,ref_light,Poppins-Regular.ttf,22,242,23,1282,243,391,648,0.495
conditions,José Zoë 12:34 µg ±5°,hard,Poppins-SemiBold.ttf,22,234,24,1455,0,0,1455,0.0
conditions,José Zoë 12:34 µg ±5°,ref,Poppins-SemiBold.ttf,22,234,24,1811,362,346,1103,0.391
conditions,José Zoë 12:34 µg ±5°,fringe170,Poppins-SemiBold.ttf,22,234,24,1592,0,401,1191,0.252
conditions,José Zoë 12:34 µg ±5°,ref_light,Poppins-SemiBold.ttf,22,248,25,1830,304,327,1199,0.345
conditions,José Zoë 12:34 µg ±5°,hard,Poppins-Regular.ttf,26,272,27,1431,0,0,1431,0.0
conditions,José Zoë 12:34 µg ±5°,ref,Poppins-Regular.ttf,26,272,27,1774,354,431,989,0.443
conditions,José Zoë 12:34 µg ±5°,fringe170,Poppins-Regular.ttf,26,272,27,1560,0,481,1079,0.308
conditions,José Zoë 12:34 µg ±5°,ref_light,Poppins-Regular.ttf,26,289,28,1809,344,358,1107,0.388
conditions,José Zoë 12:34 µg ±5°,hard,Poppins-SemiBold.ttf,26,282,28,2071,0,0,2071,0.0
conditions,José Zoë 12:34 µg ±5°,ref,Poppins-SemiBold.ttf,26,282,28,2405,353,386,1666,0.307
conditions,José Zoë 12:34 µg ±5°,fringe170,Poppins-SemiBold.ttf,26,282,28,2215,0,514,1701,0.232
conditions,José Zoë 12:34 µg ±5°,ref_light,Poppins-SemiBold.ttf,26,290,29,2433,348,338,1747,0.282
