seq,cfg,sensor_ts_ms,arrival_ms,batch,x_mg,y_mg,z_mg
0,0,13747,15135,1,239,-706,10008
1,0,13827,15136,1,1024,-2035,9730
2,0,13907,15136,1,-57,-691,9821
3,0,13987,15136,1,-284,-835,9651
4,0,14067,15136,1,9,-450,9522
5,0,14148,15136,1,1237,639,10223
6,0,14228,15136,1,155,1273,10297
7,0,14308,15136,1,976,57,9703
8,0,14388,15136,1,-155,-189,9790
9,0,14469,15136,1,19,-217,9768
10,0,14549,15136,1,-117,-117,9658
11,0,14629,15136,1,-28,-277,9703
12,0,14709,15136,1,88,-114,9814
13,0,14790,16140,1,100,-435,9711
14,0,14870,16140,1,35,-282,9646
15,0,14951,16140,1,38,-323,9828
16,0,15031,16140,1,-40,-316,9636
17,0,15112,16140,1,38,-217,9768
18,0,15192,16140,1,-93,-469,9759
19,0,15273,16140,1,0,-385,9708
20,0,15353,16140,1,4,-387,9785
21,0,15434,16140,1,4,-280,9751
22,0,15514,16140,1,83,-335,9737
23,0,15595,16140,1,26,-205,9699
24,0,15675,16140,1,0,-208,9804
25,0,15756,17175,1,-69,-392,9735
26,0,15837,17175,1,28,-201,9845
27,0,15918,17175,1,234,-11,9888
28,0,16000,17175,1,-493,512,9660
29,0,16081,17175,1,-349,45,9634
30,0,16163,17175,1,-227,332,9646
31,0,16244,17175,1,-191,98,9749
32,0,16326,17175,1,-294,220,9802
33,0,16407,17175,1,-265,284,9720
34,0,16488,17175,1,-184,318,9696
35,0,16570,17175,1,-356,380,9794
36,0,16651,17175,1,-201,392,9708
37,0,16733,17175,1,-177,385,9778
38,0,16813,18169,1,-371,277,9787
39,0,16893,18169,1,-169,213,9773
40,0,16973,18169,1,-52,404,9775
41,0,17052,18169,1,-272,179,9624
42,0,17132,18169,1,-241,572,9845
43,0,17212,18169,1,-174,177,9826
44,0,17291,18169,1,-138,498,9771
45,0,17371,18169,1,-328,323,9713
46,0,17451,18169,1,-184,332,9787
47,0,17530,18169,1,-117,328,9732
48,0,17610,18169,1,-203,237,9730
49,0,17690,18169,1,-98,191,9756
50,0,17770,19072,1,-208,225,9778
51,0,17849,19072,1,-217,179,9823
52,0,17929,19072,1,-126,150,9703
53,0,18009,19072,1,-205,126,9792
54,0,18089,19072,1,-258,179,9696
55,0,18168,19072,1,-177,172,9794
56,0,18248,19072,1,-361,-11,9581
57,0,18328,19072,1,-86,260,9847
58,0,18408,19072,1,-258,52,9663
59,0,18487,19072,1,-210,-57,9797
60,0,18567,19072,1,-251,217,9701
61,0,18647,19072,1,-328,81,9756
62,0,18727,19072,1,-342,-23,9682
63,0,18812,20075,1,-289,112,9754
64,0,18892,20075,1,-225,198,9718
65,0,18972,20076,1,-418,114,9670
66,0,19052,20076,1,-210,67,9864
67,0,19132,20076,1,-356,-146,9598
68,0,19212,20076,1,-50,184,9816
69,0,19292,20076,1,-399,117,9840
70,0,19372,20076,1,-351,-196,9751
71,0,19452,20076,1,-155,-90,9627
72,0,19532,20076,1,-325,-59,9840
73,0,19612,20076,1,-198,-112,9850
74,0,19692,20076,1,-268,11,9715
75,0,19772,21079,1,-158,-167,9842
76,0,19852,21079,1,-320,-272,9682
77,0,19932,21079,1,-95,-162,9718
78,0,20012,21079,1,-227,16,9761
79,0,20092,21079,1,-136,31,9696
80,0,20173,21079,1,-237,50,9744
81,0,20253,21079,1,-241,-148,9814
82,0,20333,21079,1,-126,-356,9675
83,0,20413,21079,1,-136,-313,9794
84,0,20494,21080,1,-169,-220,9792
85,0,20574,21080,1,-184,-110,9785
86,0,20654,21080,1,-165,-81,9780
87,0,20734,21080,1,-136,83,9720
88,0,20815,22083,1,-308,-260,9572
89,0,20895,22083,1,-146,74,9864
90,0,20976,22083,1,-131,-260,9771
91,0,21056,22083,1,-155,-292,9763
92,0,21136,22083,1,-146,-134,9756
93,0,21217,22083,1,-119,-169,9773
94,0,21297,22083,1,-251,-148,9723
95,0,21378,22083,1,-143,-105,9739
96,0,21458,22083,1,-241,-126,9742
97,0,21538,22083,1,-193,-205,9747
98,0,21619,22083,1,-122,-4,9818
99,0,21699,22083,1,-445,-390,9596
100,0,21780,23086,1,-153,23,9902
101,0,21860,23086,1,-258,-23,9653
102,0,21940,23086,1,-323,-117,9732
103,0,22020,23086,1,-390,-43,9783
104,0,22101,23086,1,-323,-79,9744
105,0,22181,23086,1,-373,-64,9682
106,0,22261,23086,1,-383,-172,9680
107,0,22342,23086,1,-335,-158,9826
108,0,22422,23086,1,-320,-189,9754
109,0,22502,23086,1,-225,-95,9763
110,0,22583,23086,1,-351,-215,9601
111,0,22663,23086,1,-64,0,9873
112,0,22743,23086,1,-304,4,9608
113,0,22824,24091,1,-294,-217,9814
114,0,22904,24091,1,-280,14,9761
115,0,22985,24091,1,-282,-155,9823
116,0,23065,24091,1,-268,-165,9723
117,0,23145,24091,1,-239,-23,9730
118,0,23226,24091,1,-213,-14,9799
119,0,23306,24091,1,-277,-90,9672
120,0,23387,24091,1,-100,-165,9823
121,0,23467,24091,1,-304,-186,9718
122,0,23547,24091,1,-74,-79,9773
123,0,23628,24091,1,-239,-177,9730
124,0,23708,24091,1,-184,-177,9713
125,0,23789,25093,1,-191,-81,9794
126,0,23869,25093,1,-225,-98,9802
127,0,23949,25093,1,-258,14,9660
128,0,24029,25093,1,-186,-86,9775
129,0,24110,25093,1,-143,-126,9838
130,0,24190,25093,1,-249,-184,9706
131,0,24270,25093,1,-119,-14,9682
132,0,24351,25093,1,-244,-126,9806
133,0,24431,25093,1,-93,28,9732
134,0,24511,25093,1,-265,-55,9732
135,0,24592,25093,1,-225,-102,9749
136,0,24672,25093,1,-167,-155,9799
137,0,24752,25093,1,-160,-129,9804
138,0,24833,26099,1,-205,-131,9754
139,0,24913,26099,1,-272,-57,9684
140,0,24993,26099,1,-167,-90,9768
141,0,25074,26099,1,-256,-265,9737
142,0,25154,26099,1,-232,-162,9684
143,0,25234,26099,1,-306,-201,9737
144,0,25315,26099,1,-141,-50,9768
145,0,25395,26099,1,-332,-129,9653
146,0,25475,26099,1,-356,-217,9756
147,0,25556,26099,1,-361,-81,9692
148,0,25636,26099,1,-282,-280,9747
149,0,25716,26099,1,-347,-270,9644
150,0,25797,27102,1,-335,-328,9687
151,0,25877,27102,1,-282,-313,9756
152,0,25957,27102,1,-349,-220,9684
153,0,26038,27102,1,-220,-368,9658
154,0,26118,27102,1,-320,-150,9727
155,0,26199,27102,1,-277,-205,9823
156,0,26279,27102,1,-399,-198,9644
157,0,26359,27102,1,-299,-150,9763
158,0,26440,27102,1,-299,-95,9775
159,0,26520,27102,1,-237,-79,9763
160,0,26601,27102,1,-363,-234,9653
161,0,26681,27102,1,-191,-169,9771
162,0,26761,27102,1,-234,-169,9773
163,0,26842,28131,1,-203,-150,9806
164,0,26922,28131,1,-318,-344,9586
165,0,27003,28131,1,-258,-222,9828
166,0,27083,28131,1,-177,-160,9792
167,0,27164,28131,1,-249,-229,9718
168,0,27245,28131,1,-196,-177,9718
169,0,27325,28131,1,-203,-153,9754
170,0,27406,28131,1,-232,-246,9735
171,0,27486,28131,1,-222,-253,9725
172,0,27567,28131,1,-205,-141,9792
173,0,27647,28131,1,-213,-165,9730
174,0,27728,28131,1,-83,-102,9790
175,0,27809,29127,1,-351,-344,9569
176,0,27890,29127,1,-117,-129,9871
177,0,27971,29127,1,-186,-83,9689
178,0,28053,29127,1,-196,-203,9744
179,0,28134,29127,1,-189,-131,9754
180,0,28216,29127,1,-172,-196,9754
181,0,28297,29127,1,-186,-268,9713
182,0,28379,29128,1,-160,-229,9751
183,0,28460,29128,1,-146,-162,9830
184,0,28541,29128,1,-181,-153,9696
185,0,28623,29128,1,-148,-208,9804
186,0,28704,29128,1,-392,-299,9699
187,0,28786,29128,1,-83,16,9926
188,0,28866,30130,1,-186,-354,9653
189,0,28946,30130,1,-222,-418,9694
190,0,29026,30131,1,-258,-253,9790
191,0,29105,30131,1,-227,-320,9706
192,0,29185,30131,1,-272,-222,9682
193,0,29265,30131,1,-335,-251,9751
194,0,29344,30131,1,-270,-335,9775
195,0,29424,30131,1,-244,-356,9682
196,0,29504,30131,1,-287,-404,9759
197,0,29583,30131,1,-366,-531,9677
198,0,29663,30131,1,-184,-385,9778
199,0,29743,30131,1,-383,-304,9696
200,0,29823,31134,1,-265,-483,9816
201,0,29902,31134,1,-289,-311,9790
202,0,29982,31134,1,-318,-316,9703
203,0,30062,31134,1,-323,-373,9692
204,0,30141,31134,1,-328,-347,9785
205,0,30221,31134,1,-320,-447,9739
206,0,30301,31134,1,-177,-117,9792
207,0,30380,31134,1,-476,-390,9584
208,0,30460,31134,1,-208,-203,9866
209,0,30540,31134,1,-282,-184,9701
210,0,30619,31134,1,-311,-225,9720
211,0,30699,31134,1,-311,-229,9754
212,0,30779,31134,1,-251,-189,9797
213,0,30859,32067,1,-268,-239,9670
214,0,30939,32067,1,-289,-232,9713
215,0,31020,32067,1,-263,-249,9699
216,0,31100,32067,1,-217,-172,9668
217,0,31180,32067,1,-146,79,10008
218,0,31261,32067,1,260,1031,10144
219,0,31341,32067,1,-498,1630,9409
220,0,31422,32067,1,-1616,-773,8104
221,0,31502,32067,1,-830,-943,8703
222,0,31582,32067,1,-213,-541,9883
