seq,sensor_ts_ms,arrival_ms,batch,x_mg,y_mg,z_mg
0,48788,50030,1,665,-960,9773
1,48868,50030,1,19,-861,9596
2,48949,50030,1,117,-498,9608
3,49030,50030,1,112,-1482,9352
4,49111,50030,1,325,-1376,9617
5,49192,50030,1,581,-1477,9742
6,49272,50030,1,-1436,-2837,8801
7,49353,50030,1,1695,-1039,10175
8,49434,50030,1,1336,225,9670
9,49515,50030,1,600,-1003,9675
10,49596,50030,1,639,-1374,9306
11,49676,50030,1,708,-1666,9672
12,49757,50030,1,660,-1374,9699
13,49837,51035,1,670,-1067,9493
14,49917,51035,1,553,-1022,9680
15,49997,51035,1,622,-945,9665
16,50077,51035,1,598,-691,9665
17,50157,51035,1,545,-936,9620
18,50237,51035,1,612,-852,9581
19,50316,51035,1,505,-921,9718
20,50396,51035,1,524,-849,9756
21,50476,51035,1,502,-1063,9610
22,50556,51035,1,577,-885,9711
23,50636,51035,1,488,-991,9632
24,50716,51035,1,538,-1137,9651
25,50796,52038,1,471,-986,9596
26,50876,52038,1,488,-1417,9711
27,50956,52038,1,519,-1347,9615
28,51036,52038,1,363,-1199,9601
29,51117,52038,1,651,-2363,9373
30,51197,52038,1,545,-2197,9505
31,51277,52038,1,550,-2274,9486
32,51358,52038,1,641,-2394,9421
33,51438,52038,1,509,-2535,9167
34,51518,52038,1,627,-2549,9261
35,51599,52038,1,565,-2482,9325
36,51679,52038,1,553,-2645,9316
37,51759,52038,1,696,-2588,9443
38,51844,53108,1,620,-2897,9404
39,51924,53108,1,603,-2815,9095
40,52004,53108,1,658,-2650,9217
41,52084,53108,1,603,-3009,9273
42,52164,53108,1,500,-2959,9284
43,52244,53108,1,751,-2877,8956
44,52324,53108,1,761,-3100,9047
45,52404,53108,1,948,-3143,9155
46,52484,53108,1,928,-3102,9258
47,52564,53108,1,940,-3174,9088
48,52644,53108,1,902,-3150,9296
49,52724,53108,1,840,-3253,9110
50,52804,53992,1,1000,-3225,9227
51,52884,53992,1,969,-3392,9306
52,52964,53992,1,878,-3464,8815
53,53045,53992,1,957,-3486,8882
54,53125,53992,1,907,-3524,9064
55,53206,53992,1,998,-3438,8925
56,53286,53992,1,936,-3663,8988
57,53366,53992,1,1007,-3632,8940
58,53447,53992,1,1055,-3328,8353
59,53527,53992,1,749,-2561,10118
60,53608,53992,1,1103,-993,9773
61,53688,53992,1,557,-1276,10058
62,53768,53992,1,632,-945,9763
63,53853,54996,1,624,-639,9502
64,53933,54996,1,311,-684,9905
65,54013,54996,1,-304,-900,9603
66,54093,54996,1,275,505,9780
67,54173,54996,1,-928,383,10249
68,54253,54996,1,390,744,9938
69,54333,54996,1,-823,1221,9572
70,54413,54996,1,-869,1158,9270
71,54493,54996,1,-1185,1197,9873
72,54573,54996,1,-1077,1132,9493
73,54653,54996,1,-907,1898,9524
74,54733,54996,1,-1094,1731,9601
75,54813,56000,1,-1048,1599,9680
76,54893,56000,1,-972,1702,9668
77,54973,56000,1,-861,1795,9560
78,55053,56000,1,-780,1807,9471
79,55134,56000,1,-689,2164,9565
80,55214,56000,1,-617,1817,9522
81,55294,56000,1,-751,1956,9711
82,55375,56000,1,-658,1841,9555
83,55455,56000,1,-493,1589,9766
84,55535,56000,1,-557,1513,9586
85,55616,56000,1,-612,1426,9524
86,55696,56000,1,-452,804,9747
87,55776,56000,1,-299,943,9732
88,55857,57005,1,-38,1113,9665
89,55937,57005,1,-205,905,9749
90,56017,57005,1,-191,864,9775
91,56098,57005,1,-57,976,9747
92,56178,57005,1,-114,878,9550
93,56258,57005,1,-129,888,9888
94,56339,57006,1,-35,799,9735
95,56419,57006,1,-107,790,9771
96,56499,57006,1,-59,763,9687
97,56580,57006,1,-21,864,9780
98,56660,57006,1,62,792,9787
99,56740,57006,1,-57,706,9706
100,56826,58172,1,-40,665,9790
101,56906,58172,1,14,557,9696
102,56986,58172,1,71,792,9787
103,57066,58172,1,-7,679,9718
104,57146,58172,1,86,622,9749
105,57226,58172,1,35,627,9804
106,57306,58172,1,93,608,9677
107,57386,58172,1,40,687,9739
108,57466,58172,1,105,622,9857
109,57546,58172,1,9,476,9806
110,57626,58172,1,83,469,9703
111,57706,58172,1,160,493,9756
112,57786,58172,1,100,430,9792
113,57866,59174,1,124,493,9718
114,57946,59174,1,141,304,9708
115,58026,59174,1,93,93,9826
116,58107,59174,1,1017,-600,9634
117,58187,59174,1,67,411,9783
118,58267,59174,1,215,169,9598
119,58348,59174,1,-399,545,9876
120,58428,59174,1,366,165,9811
121,58508,59174,1,253,399,9818
122,58589,59174,1,43,-83,9656
123,58669,59174,1,672,296,9957
124,58749,59174,1,972,763,10259
125,58830,60178,1,270,806,9701
126,58910,60178,1,-38,-438,9749
127,58990,60179,1,699,339,9814
128,59071,60179,1,517,174,9646
129,59151,60179,1,711,55,9816
130,59232,60179,1,553,69,9775
131,59312,60179,1,509,74,9646
132,59392,60179,1,596,95,9778
133,59473,60179,1,543,-177,9852
134,59553,60179,1,600,33,9589
135,59634,60179,1,555,-131,9723
136,59714,60179,1,555,-74,9826
137,59794,60179,1,114,-811,9490
138,59875,61182,1,1359,538,10115
139,59957,61182,1,900,622,9567
140,60039,61182,1,524,-440,9933
141,60120,61182,1,663,167,9617
142,60202,61182,1,581,64,9742
143,60284,61182,1,691,-59,9759
144,60365,61182,1,735,7,9771
145,60447,61182,1,665,31,9754
146,60529,61183,1,732,-23,9723
147,60610,61183,1,687,0,9806
148,60692,61183,1,670,-90,9730
149,60774,61183,1,646,-14,9773
150,60856,61885,1,742,217,9732
151,60935,61885,1,727,328,9828
152,61015,61885,1,684,323,9754
153,61095,61885,1,742,495,9780
154,61175,61885,1,821,474,9785
155,61254,61885,1,749,684,9670
156,61334,61885,1,826,1209,9756
157,61414,61885,1,1000,1290,9694
158,61494,61885,1,1000,1252,9725
159,61573,61885,1,818,1812,9723
160,61653,61885,1,732,2190,9395
161,61733,61885,1,373,2336,9474
162,61813,61885,1,610,2332,9510
163,61888,62888,1,636,2810,9354
164,61968,62888,1,186,1807,9672
165,62048,62888,1,0,2015,9620
166,62128,62888,1,69,2281,9648
167,62208,62888,1,165,2157,9723
168,62288,62888,1,186,2576,9593
169,62368,62888,1,354,2643,9093
170,62448,62888,1,363,2772,9476
171,62528,62888,1,541,2839,9502
172,62608,62888,1,354,2861,9311
173,62688,62888,1,-31,2988,9378
174,62768,62888,1,-19,2877,9414
175,62848,63891,1,-7,3091,9361
176,62928,63892,1,2,2868,9364
177,63008,63892,1,129,3002,9354
178,63088,63892,1,-1264,6103,8588
179,63168,63892,1,1841,1491,9593
180,63248,63892,1,1369,1419,10937
181,63328,63892,1,-354,277,7999
182,63409,63892,1,-1407,428,7764
183,63489,63892,1,-366,301,8602
184,63569,63892,1,665,703,9222
185,63649,63892,1,1903,677,10506
186,63729,63892,1,1276,1637,11188
187,63809,63892,1,509,2126,9538
188,63890,64894,1,885,2480,9574
189,63970,64894,1,-289,-5363,10585
190,64050,64894,1,409,-2794,8576
191,64131,64894,1,-40,917,10257
192,64211,64894,1,1608,1379,9536
193,64291,64894,1,2710,4901,10383
194,64372,64894,1,306,1592,8698
195,64452,64894,1,1596,2813,9768
196,64532,64894,1,2102,3725,9500
197,64613,64894,1,979,2394,9639
198,64693,64894,1,876,2126,9352
199,64773,64894,1,2346,1664,9241
200,64854,65897,1,-23,3392,9536
201,64934,65898,1,584,4630,8633
202,65014,65898,1,69,5652,8698
203,65095,65898,1,1295,2968,9548
204,65175,65898,1,227,4031,10077
205,65256,65898,1,2765,3251,10125
206,65336,65898,1,-1087,4699,10877
207,65416,65898,1,3306,-1812,9912
208,65497,65898,1,586,-26,11044
209,65577,65898,1,-481,1201,9742
210,65658,65898,1,-407,2097,9895
211,65738,65898,1,-505,2066,8825
212,65818,65898,1,-663,2777,8032
213,65899,66902,1,-131,814,8502
214,65979,66902,1,-215,3885,9510
215,66059,66902,1,-50,3102,9747
216,66140,66902,1,172,2942,9443
217,66220,66902,1,181,3079,9251
218,66300,66902,1,191,3416,9251
219,66381,66902,1,90,3337,9016
220,66461,66902,1,16,3878,9107
221,66541,66902,1,-43,3854,9093
222,66622,66902,1,-241,3691,9083
223,66702,66902,1,-256,3991,8775
224,66782,66902,1,40,3955,9119
225,66863,67930,1,-265,4043,8959
226,66943,67930,1,-411,4314,8909
227,67023,67930,1,-529,4417,8791
228,67103,67930,1,-55,4201,8569
229,67183,67930,1,6838,8183,8265
230,67264,67930,1,5585,2293,10405
231,67344,67930,1,2578,1031,10726
232,67424,67930,1,-488,-988,9747
233,67504,67930,1,-679,2566,10498
234,67585,67930,1,-2480,418,8351
235,67665,67930,1,-4230,-6119,6641
236,67745,67930,1,-4388,-10846,5688
237,67825,67930,1,-205,-9126,2286
238,67906,68930,1,1223,-10242,-502
239,67986,68930,1,859,-9397,-1573
240,68067,68930,1,52,-8408,-469
241,68147,68930,1,646,-10501,-1364
242,68228,68930,1,-538,-8423,-462
243,68308,68930,1,691,-7709,-998
244,68389,68930,1,1501,-12330,-2482
245,68469,68930,1,433,-9629,-2303
246,68550,68930,1,-2403,-8169,-2377
247,68630,68930,1,-3126,-6442,-3560
248,68711,68930,1,-3112,-7094,-2418
249,68791,68931,1,-2806,-9426,-1422
250,68872,69933,1,-1652,-9737,-1441
251,68952,69933,1,-857,-12636,1403
252,69032,69933,1,1419,-14128,-2202
253,69112,69933,1,-2762,-9613,2499
254,69192,69933,1,-2485,-9598,4180
255,69273,69933,1,-1881,-3105,8413
256,69353,69933,1,-2303,1790,7170
257,69433,69933,1,-1438,1288,5834
258,69513,69933,1,-373,-996,8356
259,69594,69933,1,-818,76,10170
260,69674,69933,1,-2396,4563,10843
261,69754,69933,1,-2080,3385,9864
262,69834,69933,1,-1611,1939,8554
263,69915,70937,1,-3514,1642,9416
264,69995,70937,1,-3543,2681,9095
265,70076,70937,1,-1450,3071,8006
266,70156,70937,1,-428,4149,10671
267,70236,70937,1,519,3129,11269
268,70317,70937,1,-962,3665,8928
269,70397,70937,1,-2415,1010,9541
270,70478,70937,1,-1570,3122,8849
271,70558,70937,1,897,6442,7762
272,70638,70937,1,100,7333,6577
273,70719,70937,1,160,3596,7889
274,70799,70937,1,615,86,9378
275,70880,71941,1,608,-442,9624
276,70960,71941,1,-308,-3423,9723
277,71041,71941,1,263,-5195,9694
278,71121,71941,1,-222,-6742,6009
279,71202,71941,1,-272,-7063,6445
280,71283,71941,1,-270,-8612,6045
281,71363,71941,1,-866,-9672,5774
282,71444,71941,1,-608,-10922,5525
283,71525,71941,1,-1599,-8612,5284
284,71605,71941,1,-2281,-8609,5695
285,71686,71941,1,-3134,-7381,4192
286,71767,71941,1,-4194,-6134,3859
287,71847,71941,1,-4587,-4644,4252
288,71928,72946,1,-4740,-5403,4673
289,72010,72946,1,-5142,-5964,5253
290,72092,72946,1,-5181,-5710,5171
291,72174,72946,1,-4525,-5595,5583
292,72255,72946,1,-4242,-5973,6352
293,72337,72946,1,-4599,-5691,4802
294,72419,72946,1,-4259,-4551,5358
295,72501,72946,1,-4541,-3586,4268
296,72582,72946,1,-4072,-2971,7968
297,72664,72946,1,-2997,-7652,7798
298,72746,72946,1,-2748,-5092,8724
299,72828,72946,1,-2245,-739,8959
300,72910,73949,1,-2523,1683,9179
301,72989,73949,1,-1714,6435,9112
302,73069,73949,1,-1242,6330,8794
303,73148,73949,1,110,6182,9718
304,73228,73949,1,335,6447,8190
305,73308,73950,1,988,5166,7795
306,73387,73950,1,1920,6158,6442
307,73467,73950,1,1594,5458,8087
308,73546,73950,1,1541,6241,8554
309,73626,73950,1,1498,5214,8310
310,73706,73950,1,952,5499,7831
311,73785,73950,1,806,6059,7915
312,73865,73950,1,699,6129,7606
313,73944,74952,1,603,6234,7326
314,74024,74952,1,572,6526,7381
315,74104,74952,1,723,7314,6955
316,74183,74952,1,756,7283,7024
317,74263,74952,1,1233,7072,6701
318,74343,74952,1,828,7233,6799
319,74422,74952,1,864,6840,6548
320,74502,74952,1,572,7455,6110
321,74582,74952,1,620,7410,6517
322,74661,74952,1,531,7331,6620
323,74741,74952,1,596,7201,6768
324,74821,74952,1,476,7012,7199
325,74901,75955,1,332,7206,6761
326,74981,75955,1,498,7199,6871
327,75061,75955,1,320,7067,6948
328,75142,75955,1,368,7125,7075
329,75222,75955,1,565,7221,7197
330,75303,75955,1,246,7319,6794
331,75383,75955,1,548,7213,6998
332,75464,75955,1,500,7087,6826
333,75544,75955,1,433,7055,7060
334,75625,75955,1,371,7166,7039
335,75705,75955,1,730,7216,6900
336,75786,75955,1,811,6818,6979
337,75866,75955,1,861,7106,7280
338,75947,76958,1,1127,6929,6950
339,76027,76958,1,735,6136,7620
340,76107,76958,1,313,6320,6847
341,76187,76958,1,86,7326,7836
342,76268,76958,1,234,7146,7316
343,76348,76958,1,162,7187,7170
344,76428,76958,1,1036,7089,6759
345,76508,76958,1,2296,3316,6739
346,76589,76958,1,-917,3117,8573
347,76669,76958,1,-1005,-2324,2504
348,76749,76958,1,-409,-11660,6763
349,76829,76958,1,-114,-11779,3749
350,76910,77990,1,-536,-10103,90
351,76990,77990,1,-2217,-9071,888
352,77070,77990,1,-778,-13688,919
353,77151,77990,1,-2363,-9047,-1932
354,77231,77990,1,-2312,-8006,-146
355,77312,77990,1,-2111,-10599,656
356,77392,77990,1,-3146,-8157,-921
357,77473,77990,1,-3155,-8231,-354
358,77553,77990,1,-1781,-8698,-1168
359,77634,77990,1,-557,-9742,-1254
360,77714,77990,1,-299,-9416,-447
361,77795,77990,1,-414,-9447,-545
362,77875,77990,1,122,-9988,-778
363,77956,78987,1,112,-9670,-976
364,78036,78987,1,-14,-9304,-1240
365,78116,78987,1,-328,-10003,-902
366,78196,78987,1,-172,-10158,-1901
367,78276,78987,1,-141,-9170,-1065
368,78356,78987,1,160,-9105,-462
369,78437,78987,1,1766,-8399,-2164
370,78517,78987,1,2875,-9943,-3665
371,78597,78987,1,-742,-11952,-6093
372,78677,78988,1,-4264,-10881,4527
373,78757,78988,1,-469,694,3677
374,78837,78988,1,1764,4151,8200
375,78918,79986,1,2020,2135,9723
376,78998,79986,1,1642,2475,9404
377,79078,79987,1,3292,1889,9433
378,79159,79987,1,2803,-380,9428
379,79239,79987,1,2150,292,9605
380,79320,79987,1,653,747,9545
381,79400,79987,1,3840,3483,9945
382,79480,79987,1,622,730,9577
383,79561,79987,1,1860,3682,9476
384,79641,79987,1,802,2090,8997
385,79722,79987,1,1326,2030,9519
386,79802,79987,1,914,1932,9531
387,79882,79987,1,928,1848,9510
388,79963,80989,1,814,2102,9608
389,80043,80989,1,747,1917,9785
390,80123,80989,1,768,1913,9794
391,80204,80989,1,687,1929,9510
392,80284,80989,1,873,1793,9613
393,80364,80989,1,656,1726,9474
394,80445,80989,1,730,1642,9593
395,80525,80989,1,502,847,9768
396,80605,80989,1,1498,1901,9603
397,80686,80989,1,1752,1599,9809
398,80766,80989,1,878,1596,9684
399,80846,80989,1,1168,1398,9663
