H,schema,1,kinds,R;E;S;V;X
H,R,kind,uptime_ms,wall_utc,run_id,firmware,hardware,fw_read,app_version,catalogue_version,type_table_version,kernel_iface
H,E,kind,uptime_ms,run_id,type,resolved,handle,driver_count,connected,descriptor
H,S,kind,uptime_ms,wall_utc,type,interval_ms,samples,batches,field_count,field_count_alt,ts_span_ms,longest_gap_ms,dt_min_m,dt_min_e,dt_p05_m,dt_p05_e,dt_p50_m,dt_p50_e,dt_p95_m,dt_p95_e,dt_max_m,dt_max_e,dt_bin_width_m,dt_bin_width_e,dt_over,batch_p50_m,batch_p50_e,batch_dt_p50_m,batch_dt_p50_e,us_over_999,non_monotonic,skew_ppm_m,skew_ppm_e,first_offset_ms,last_offset_ms,cadence,first_sample_ms
H,V,kind,uptime_ms,type,field,n,nonfinite,denormal,min_m,min_e,max_m,max_e,mean_m,mean_e,lsb_m,lsb_e,stuck_max_run,ever_changed,distinct,distinct_over
H,B,kind,uptime_ms,type,series,bins,width_m,width_e,origin_m,origin_e,count,under,over,min_m,min_e,max_m,max_e,+idx:count per non-empty bin
H,X,kind,uptime_ms,wall_utc,run_id,end,rows,failures,bytes
R,359372,1787671594,6,1.4.0,unknown,0,0.1.0,1,1,3
S,365844,1787671601,0x10,6102,250,26,3,-1,5562,40,2000000,-5,2050000,-5,2050000,-5,4050000,-5,4000000,-5,1000000,-6,0,1050000,-5,5000000,-7,0,0,-9346088,-1,3315,628,1,2868
B,365844,0x10,0,128,1000000,-6,0,0,249,0,0,2000000,-5,4000000,-5,20:199,21:22,40:28
B,365844,0x10,1,128,1000000,-6,0,0,25,0,1,0,0,2854000,-3,0:22,1:1,20:1
B,365844,0x10,2,64,1000000,-6,0,0,26,0,0,5000000,-6,1000000,-5,5:2,10:24
V,365844,0x10,0,250,0,0,-2109356,-6,2363149,-6,-7868545,-8,2394259,-9,2,1,0,0
V,365844,0x10,1,250,0,0,-6943398,-8,4498842,-6,3222580,-6,2394200,-9,2,1,0,0
V,365844,0x10,2,250,0,0,7259441,-6,1128182,-5,9194934,-6,2393723,-9,1,1,0,0
S,365844,1787671601,0x11,6102,250,26,3,-1,5562,40,2000000,-5,2050000,-5,2050000,-5,4050000,-5,4000000,-5,1000000,-6,0,1050000,-5,5000000,-7,0,0,-9467974,-1,3313,608,1,2866
B,365844,0x11,0,128,1000000,-6,0,0,249,0,0,2000000,-5,4000000,-5,20:199,21:22,40:28
B,365844,0x11,1,128,1000000,-6,0,0,25,0,1,0,0,2852000,-3,0:21,1:1,2:2
B,365844,0x11,2,64,1000000,-6,0,0,26,0,0,5000000,-6,1000000,-5,5:2,10:24
V,365844,0x11,0,133,117,133,1401299,-51,1383082,-48,2564375,-49,1401299,-51,2,1,16,1
V,365844,0x11,1,249,1,249,4652311,-49,2633040,-48,1893154,-48,1401299,-51,2,1,16,1
V,365844,0x11,2,250,0,250,4248738,-48,6602918,-48,5380985,-48,1401299,-51,1,1,16,1
S,365844,1787671601,0x20,6102,125,13,3,-1,280672,275730,4000000,-5,4050000,-5,4050000,-5,4150000,-5,2757300,-1,1000000,-6,1,1050000,-5,5000000,-7,0,0,-2806710,5,281772,1101,1,5106
B,365844,0x20,0,128,1000000,-6,0,0,124,0,1,4000000,-5,2757300,-1,40:101,41:22
B,365844,0x20,1,128,1000000,-6,0,0,12,0,0,0,0,1000000,-6,0:11,1:1
B,365844,0x20,2,64,1000000,-6,0,0,13,0,0,5000000,-6,1000000,-5,5:1,10:12
V,365844,0x20,0,125,0,0,-5163731,-5,3497422,-5,-4126102,-7,6103701,-8,2,1,0,0
V,365844,0x20,1,125,0,0,-5505539,-5,9326456,-5,4292123,-7,6103701,-8,2,1,0,0
V,365844,0x20,2,125,0,0,-5102695,-5,4693747,-5,5006500,-6,6103701,-8,2,1,0,0
S,365844,1787671601,0x21,6102,125,13,3,-1,280672,275730,4000000,-5,4050000,-5,4050000,-5,4150000,-5,2757300,-1,1000000,-6,1,1050000,-5,5000000,-7,0,0,-1348385,3,281564,1100,1,4898
B,365844,0x21,0,128,1000000,-6,0,0,124,0,1,4000000,-5,2757300,-1,40:101,41:22
B,365844,0x21,1,128,1000000,-6,0,0,12,0,1,0,0,2080000,-4,0:11
B,365844,0x21,2,64,1000000,-6,0,0,13,0,0,5000000,-6,1000000,-5,5:1,10:12
V,365844,0x21,0,59,66,59,1681558,-50,8029443,-49,2172012,-49,1401299,-51,2,1,16,1
V,365844,0x21,1,49,76,48,0,0,2141185,-48,4666323,-49,1401299,-51,2,1,16,1
V,365844,0x21,2,82,43,80,0,0,1077599,-48,3447194,-49,1401299,-51,2,1,16,1
S,365844,1787671601,0x41,6102,5,1,2,-1,4057,1018,1007000,-3,1018000,-3,1018000,-3,1018000,-3,1018000,-3,1000000,-6,4,5500000,-6,0,0,0,0,0,0,4057,0,0,4490
B,365844,0x41,0,128,1000000,-6,0,0,4,0,4,1007000,-3,1018000,-3
B,365844,0x41,2,64,1000000,-6,0,0,1,0,0,5000000,-6,5000000,-6,5:1
V,365844,0x41,0,5,0,0,0,0,0,0,0,0,0,127,5,0,0,0
V,365844,0x41,1,5,0,0,0,0,0,0,0,0,0,127,5,0,0,0
S,365844,1787671601,0x42,6102,1,1,2,-1,0,0,0,0,0,0,0,0,0,0,0,0,1000000,-6,0,1500000,-6,0,0,0,0,0,0,198,198,0,198
B,365844,0x42,2,64,1000000,-6,0,0,1,0,0,1000000,-6,1000000,-6,1:1
V,365844,0x42,0,1,0,0,6000000,-5,6000000,-5,6000000,-5,0,127,1,0,0,0
V,365844,0x42,1,1,0,0,5400000,-5,5400000,-5,5400000,-5,0,127,1,0,0,0
S,365844,1787671601,0x43,6102,5,1,7,-1,4057,1018,1007000,-3,1018000,-3,1018000,-3,1018000,-3,1018000,-3,1000000,-6,4,5500000,-6,0,0,0,0,0,0,4057,0,0,4489
B,365844,0x43,0,128,1000000,-6,0,0,4,0,4,1007000,-3,1018000,-3
B,365844,0x43,2,64,1000000,-6,0,0,1,0,0,5000000,-6,5000000,-6,5:1
V,365844,0x43,0,5,0,0,0,0,0,0,0,0,0,127,5,0,0,0
V,365844,0x43,1,5,0,0,0,0,0,0,0,0,0,127,5,0,0,0
V,365844,0x43,2,5,0,0,0,0,1000000,-6,6000000,-7,1000000,-6,3,1,0,0
V,365844,0x43,3,5,0,0,0,0,0,0,0,0,0,127,5,0,0,0
V,365844,0x43,4,5,0,0,0,0,0,0,0,0,0,127,5,0,0,0
V,365844,0x43,5,5,0,0,0,0,0,0,0,0,0,127,5,0,0,0
V,365844,0x43,6,5,0,0,0,0,0,0,0,0,0,127,5,0,0,0
S,365844,1787671601,0x50,6102,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1000000,-6,0,0,0,0,0,0,0,0,0,0,0,0,-1
S,365844,1787671601,0x51,6102,1,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,1000000,-6,0,1500000,-6,0,0,0,0,0,0,197,197,0,197
B,365844,0x51,2,64,1000000,-6,0,0,1,0,0,1000000,-6,1000000,-6,1:1
V,365844,0x51,0,1,0,0,0,0,0,0,0,0,0,127,1,0,1,0
S,365844,1787671601,0x52,6102,1,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,1000000,-6,0,1500000,-6,0,0,0,0,0,0,197,197,0,197
B,365844,0x52,2,64,1000000,-6,0,0,1,0,0,1000000,-6,1000000,-6,1:1
V,365844,0x52,0,1,0,1,2270104,-49,2270104,-49,2270104,-49,0,127,1,0,1,0
S,365844,1787671601,0x53,6102,5,1,2,-1,4062,1022,1004000,-3,1022000,-3,1022000,-3,1022000,-3,1022000,-3,1000000,-6,4,5500000,-6,0,0,0,0,0,0,4062,0,0,5103
B,365844,0x53,0,128,1000000,-6,0,0,4,0,4,1004000,-3,1022000,-3
B,365844,0x53,2,64,1000000,-6,0,0,1,0,0,5000000,-6,5000000,-6,5:1
V,365844,0x53,0,5,0,0,0,0,0,0,0,0,0,127,5,0,0,0
V,365844,0x53,1,5,0,0,0,0,0,0,0,0,0,127,5,0,1,0
S,365844,1787671601,0x60,6102,1,1,2,-1,0,0,0,0,0,0,0,0,0,0,0,0,1000000,-6,0,1500000,-6,0,0,0,0,0,0,194,194,0,194
B,365844,0x60,2,64,1000000,-6,0,0,1,0,0,1000000,-6,1000000,-6,1:1
V,365844,0x60,0,1,0,0,0,0,0,0,0,0,0,127,1,0,1,0
V,365844,0x60,1,1,0,0,0,0,0,0,0,0,0,127,1,0,1,0
S,365844,1787671601,0x61,6102,1,1,2,-1,0,0,0,0,0,0,0,0,0,0,0,0,1000000,-6,0,1500000,-6,0,0,0,0,0,0,194,194,0,194
B,365844,0x61,2,64,1000000,-6,0,0,1,0,0,1000000,-6,1000000,-6,1:1
V,365844,0x61,0,1,0,0,0,0,0,0,0,0,0,127,1,0,1,0
V,365844,0x61,1,1,0,0,0,0,0,0,0,0,0,127,1,0,1,0
S,365844,1787671601,0x70,6102,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1000000,-6,0,0,0,0,0,0,0,0,0,0,0,0,-1
S,365844,1787671601,0x80,6102,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1000000,-6,0,0,0,0,0,0,0,0,0,0,0,0,-1
S,365844,1787671601,0x90,6102,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1000000,-6,0,0,0,0,0,0,0,0,0,0,0,0,-1
S,365844,1787671601,0xa0,6102,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1000000,-6,0,0,0,0,0,0,0,0,0,0,0,0,-1
S,365844,1787671601,0xb0,6102,1,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,1000000,-6,0,1500000,-6,0,0,0,0,0,0,190,190,0,190
B,365844,0xb0,2,64,1000000,-6,0,0,1,0,0,1000000,-6,1000000,-6,1:1
V,365844,0xb0,0,1,0,1,1401299,-51,1401299,-51,1401299,-51,0,127,1,0,1,0
S,365844,1787671601,0xc0,6102,1,1,2,-1,0,0,0,0,0,0,0,0,0,0,0,0,1000000,-6,0,1500000,-6,0,0,0,0,0,0,190,190,0,190
B,365844,0xc0,2,64,1000000,-6,0,0,1,0,0,1000000,-6,1000000,-6,1:1
V,365844,0xc0,0,1,0,0,0,0,0,0,0,0,0,127,1,0,1,0
V,365844,0xc0,1,1,0,0,0,0,0,0,0,0,0,127,1,0,1,0
S,365844,1787671601,0xe0,6102,1,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,1000000,-6,0,1500000,-6,0,0,0,0,0,0,189,189,0,189
B,365844,0xe0,2,64,1000000,-6,0,0,1,0,0,1000000,-6,1000000,-6,1:1
V,365844,0xe0,0,1,0,0,0,0,0,0,0,0,0,127,1,0,1,0
S,365844,1787671601,0xe1,6102,1,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,1000000,-6,0,1500000,-6,0,0,0,0,0,0,188,188,0,188
B,365844,0xe1,2,64,1000000,-6,0,0,1,0,0,1000000,-6,1000000,-6,1:1
V,365844,0xe1,0,1,0,0,0,0,0,0,0,0,0,127,1,0,1,0
S,365844,1787671601,0x110,6102,5,1,5,-1,4062,1022,1004000,-3,1022000,-3,1022000,-3,1022000,-3,1022000,-3,1000000,-6,4,5500000,-6,0,0,0,0,0,0,4062,0,0,5091
B,365844,0x110,0,128,1000000,-6,0,0,4,0,4,1004000,-3,1022000,-3
B,365844,0x110,2,64,1000000,-6,0,0,1,0,0,5000000,-6,5000000,-6,5:1
V,365844,0x110,0,5,0,0,0,0,0,0,0,0,0,127,5,0,0,0
V,365844,0x110,1,5,0,0,0,0,0,0,0,0,0,127,5,0,1,0
V,365844,0x110,2,5,0,0,0,0,0,0,0,0,0,127,5,0,0,0
V,365844,0x110,3,5,0,0,0,0,0,0,0,0,0,127,5,0,0,0
V,365844,0x110,4,5,0,0,0,0,0,0,0,0,0,127,5,0,0,0
S,365844,1787671601,0x111,6102,5,1,3,-1,4062,1022,1004000,-3,1022000,-3,1022000,-3,1022000,-3,1022000,-3,1000000,-6,4,5500000,-6,0,0,0,0,0,0,4062,0,0,5090
B,365844,0x111,0,128,1000000,-6,0,0,4,0,4,1004000,-3,1022000,-3
B,365844,0x111,2,64,1000000,-6,0,0,1,0,0,5000000,-6,5000000,-6,5:1
V,365844,0x111,0,5,0,0,0,0,0,0,0,0,0,127,5,0,0,0
V,365844,0x111,1,5,0,0,0,0,0,0,0,0,0,127,5,0,1,0
V,365844,0x111,2,5,0,0,0,0,0,0,0,0,0,127,5,0,1,0
S,365844,1787671601,0x112,6102,5,1,1,-1,4062,1022,1004000,-3,1022000,-3,1022000,-3,1022000,-3,1022000,-3,1000000,-6,4,5500000,-6,0,0,0,0,0,0,4062,0,0,5088
B,365844,0x112,0,128,1000000,-6,0,0,4,0,4,1004000,-3,1022000,-3
B,365844,0x112,2,64,1000000,-6,0,0,1,0,0,5000000,-6,5000000,-6,5:1
V,365844,0x112,0,5,0,0,0,0,0,0,0,0,0,127,5,0,0,0
S,365844,1787671601,0x120,6102,1,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,1000000,-6,0,1500000,-6,0,0,0,0,0,0,180,180,0,180
B,365844,0x120,2,64,1000000,-6,0,0,1,0,0,1000000,-6,1000000,-6,1:1
V,365844,0x120,0,1,0,0,1000000,-4,1000000,-4,1000000,-4,0,127,1,0,0,0
S,365844,1787671601,0x121,6102,1,1,2,-1,0,0,0,0,0,0,0,0,0,0,0,0,1000000,-6,0,1500000,-6,0,0,0,0,0,0,180,180,0,180
B,365844,0x121,2,64,1000000,-6,0,0,1,0,0,1000000,-6,1000000,-6,1:1
V,365844,0x121,0,1,0,0,0,0,0,0,0,0,0,127,1,0,1,0
V,365844,0x121,1,1,0,0,0,0,0,0,0,0,0,127,1,0,1,0
S,365844,1787671601,0x122,6102,5,1,5,-1,4057,1020,1004000,-3,1020000,-3,1020000,-3,1020000,-3,1020000,-3,1000000,-6,4,5500000,-6,0,0,0,0,0,0,4063,6,0,5088
B,365844,0x122,0,128,1000000,-6,0,0,4,0,4,1004000,-3,1020000,-3
B,365844,0x122,2,64,1000000,-6,0,0,1,0,0,5000000,-6,5000000,-6,5:1
V,365844,0x122,0,5,0,0,4388672,-6,4395703,-6,4390078,-6,7030964,-9,4,1,0,0
V,365844,0x122,1,5,0,0,-1281250,-5,4375000,-6,-9375000,-6,1718750,-5,4,1,0,0
V,365844,0x122,2,5,0,0,-5156250,-6,2343750,-6,-3656250,-6,7500000,-6,4,1,0,0
V,365844,0x122,3,5,0,0,2210000,-4,2210000,-4,2210000,-4,0,127,5,0,0,0
V,365844,0x122,4,5,0,0,2210000,-4,2210000,-4,2210000,-4,0,127,5,0,0,0
S,365844,1787671601,0x130,6102,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1000000,-6,0,0,0,0,0,0,0,0,0,0,0,0,-1
S,365844,1787671601,0x131,6102,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1000000,-6,0,0,0,0,0,0,0,0,0,0,0,0,-1
S,365844,1787671601,0x140,6102,4,4,1,-1,2228,2024,5100000,-5,5150000,-5,2024000,-3,2024000,-3,2024000,-3,1000000,-6,2,1500000,-6,1848000,-3,0,0,-8577000,-2,176,0,0,176
B,365844,0x140,0,128,1000000,-6,0,0,3,0,2,5100000,-5,2024000,-3,51:1
B,365844,0x140,1,128,1000000,-6,0,0,3,0,2,5100000,-5,1848000,-3,51:1
B,365844,0x140,2,64,1000000,-6,0,0,4,0,0,1000000,-6,1000000,-6,1:4
V,365844,0x140,0,4,0,2,0,0,1401299,-51,0,0,1401299,-51,1,1,2,0
S,365844,1787671601,0x150,6102,5,1,2,-1,4062,1022,1004000,-3,1022000,-3,1022000,-3,1022000,-3,1022000,-3,1000000,-6,4,5500000,-6,0,0,0,0,0,0,4062,0,0,5084
B,365844,0x150,0,128,1000000,-6,0,0,4,0,4,1004000,-3,1022000,-3
B,365844,0x150,2,64,1000000,-6,0,0,1,0,0,5000000,-6,5000000,-6,5:1
V,365844,0x150,0,5,0,0,0,0,0,0,0,0,0,127,5,0,0,0
V,365844,0x150,1,5,0,0,0,0,0,0,0,0,0,127,5,0,1,0
X,366715,1787671602,6,completed,326,0,27331
