seq,sensor_ts_ms,arrival_ms,batch,x_mg,y_mg,z_mg
121,20308,20922,1,-117,1168,9811
122,20388,20922,1,-105,1010,9589
123,20469,20922,1,-102,1036,9857
124,20549,20922,1,-57,1036,9675
125,20630,21919,1,-76,902,9720
126,20710,21919,1,-117,1003,9718
127,20790,21919,1,-11,926,9737
128,20870,21919,1,-64,1063,9818
129,20950,21919,1,-79,948,9684
130,21031,21919,1,-35,835,9723
131,21111,21919,1,-26,1007,9692
132,21191,21919,1,-83,991,9727
133,21271,21919,1,-19,945,9668
134,21352,21919,1,-21,878,9670
135,21432,21919,1,-31,988,9720
136,21512,21919,1,-110,1206,9457
137,21592,21919,1,14,701,9541
138,21673,22921,1,-445,754,10187
139,21753,22921,1,160,780,9938
140,21834,22921,1,129,1106,9603
141,21914,22921,1,-35,1024,9620
142,21994,22921,1,59,866,9771
143,22075,22921,1,189,2602,8997
144,22155,22921,1,3414,3155,10831
145,22236,22921,1,-4132,8142,3677
146,22316,22921,1,100,1807,10781
147,22396,22921,1,-222,-13032,2616
148,22477,22921,1,124,-11957,-136
149,22557,22921,1,1273,-9074,2581
150,22638,23925,1,1623,-9519,4223
151,22718,23925,1,708,-7644,3203
152,22798,23925,1,2068,-10735,3021
153,22879,23925,1,-1355,-5966,3419
154,22959,23925,1,-536,-6854,3196
155,23040,23925,1,2190,-16527,3272
156,23120,23925,1,-1187,-7960,857
157,23201,23925,1,-2913,-6182,-723
158,23281,23925,1,2293,-16412,1477
159,23362,23925,1,1235,-11652,2554
160,23442,23925,1,-679,-6804,-2011
161,23523,23925,1,1307,-6780,-19
162,23603,23925,1,-1197,-9646,2451
163,23684,24930,1,-3189,-13388,1003
164,23764,24930,1,-229,-7867,861
165,23844,24930,1,-1276,-8868,380
166,23924,24930,1,-1127,-8612,1199
167,24005,24930,1,-1984,-8940,1905
168,24085,24930,1,-2150,-8715,2231
169,24165,24930,1,-2284,-8990,3653
170,24245,24930,1,-1889,-8909,3356
171,24326,24930,1,-1690,-8609,2911
172,24406,24930,1,-1984,-8633,3160
173,24486,24930,1,-1786,-8858,3328
174,24566,24930,1,-1752,-8494,3512
175,24647,25934,1,-2001,-8657,3562
176,24727,25934,1,-2063,-8564,3454
177,24807,25934,1,-2049,-8667,3450
178,24888,25934,1,-2255,-8578,3390
179,24968,25934,1,-1762,-8724,3600
180,25049,25934,1,-1702,-8499,3849
181,25129,25934,1,-2008,-8535,3782
182,25210,25934,1,-2035,-8609,3533
183,25290,25934,1,-2035,-8458,3430
184,25371,25934,1,-2212,-8770,3493
185,25451,25934,1,-2169,-8640,3605
186,25532,25934,1,-1984,-8358,3591
187,25612,25934,1,-2004,-8645,3636
188,25693,26902,1,-2039,-8430,3641
189,25773,26902,1,-1893,-8492,3548
190,25854,26902,1,-1812,-8624,3699
191,25934,26903,1,-1908,-8549,3821
192,26014,26903,1,-1963,-8432,3921
193,26095,26903,1,-1956,-8514,3804
194,26175,26903,1,-1872,-8537,3670
195,26256,26903,1,-1881,-8569,3730
196,26336,26903,1,-1901,-8504,3773
197,26416,26903,1,-1984,-8511,3790
198,26497,26903,1,-1865,-8449,3845
199,26577,26903,1,-1948,-8530,3809
200,26663,27906,1,-1886,-8480,3814
201,26743,27906,1,-1934,-8499,3799
202,26823,27906,1,-1862,-8454,3866
203,26903,27906,1,-1874,-8478,3838
204,26983,27906,1,-1898,-8468,3818
205,27063,27906,1,-1903,-8475,3838
206,27143,27906,1,-1903,-8547,3775
207,27223,27906,1,-1948,-8497,3823
208,27303,27906,1,-1936,-8399,3866
209,27383,27906,1,-1992,-8492,3818
210,27463,27906,1,-2011,-8427,3826
211,27543,27906,1,-1838,-8478,4058
212,27623,27906,1,-2044,-8231,4240
213,27703,28909,1,-2169,-8442,3435
214,27783,28909,1,-2293,-8674,3023
215,27864,28909,1,-2051,-8822,3277
216,27944,28909,1,-2174,-8691,3493
217,28025,28909,1,-2126,-8387,3519
218,28105,28909,1,-2262,-8583,3435
219,28186,28909,1,-1956,-8767,3373
220,28266,28909,1,-2025,-8616,3383
221,28347,28909,1,-2430,-8569,3531
222,28427,28909,1,-2334,-8583,3478
223,28508,28909,1,-2312,-8470,3426
224,28588,28909,1,-2102,-8526,3351
225,28669,29914,1,-2126,-8332,3356
226,28750,29914,1,-1869,-8564,3715
227,28831,29914,1,-1592,-8664,3931
228,28913,29914,1,-1755,-8624,3950
229,28994,29914,1,-2233,-8597,3761
230,29076,29914,1,-1755,-8427,3797
231,29157,29914,1,-2085,-8547,3854
232,29239,29914,1,-1977,-8420,4151
233,29320,29915,1,-1872,-8202,3368
234,29401,29915,1,-2233,-8229,4015
235,29483,29915,1,-2300,-8712,3885
236,29564,29915,1,-2051,-6057,5763
237,29646,29915,1,-2245,-5166,7563
238,29743,30917,1,-2336,-4448,8657
239,29823,30917,1,-1781,-2777,8990
240,29903,30917,1,-1831,-1793,9143
241,29983,30917,1,-1731,-1529,9768
242,30063,30917,1,-1915,-138,9601
243,30143,30917,1,-2212,203,9390
244,30223,30917,1,-2250,-869,9478
245,30303,30917,1,-2276,-459,9452
246,30383,30917,1,-2231,-557,9220
247,30463,30917,1,-2336,-639,9548
248,30543,30917,1,-2408,-521,9421
249,30623,30917,1,-2408,-378,9268
250,30702,31920,1,-2401,-339,9249
251,30782,31920,1,-2411,-730,9474
252,30862,31920,1,-2358,-912,9318
253,30942,31920,1,-2181,-509,9474
254,31022,31920,1,-1999,-232,9404
255,31102,31920,1,-1618,-773,9196
256,31182,31920,1,-818,-2506,9852
257,31261,31920,1,-292,-1388,9672
258,31341,31920,1,349,-1601,9835
259,31421,31920,1,88,-1491,10065
260,31501,31920,1,-162,-847,9577
261,31581,31920,1,-43,-1441,9280
262,31661,31920,1,-1453,1549,10783
263,31741,32924,1,-155,-1233,9663
264,31821,32924,1,-148,-835,9596
265,31902,32924,1,-179,-727,9725
266,31982,32924,1,57,-632,9792
267,32062,32924,1,-177,-545,9605
268,32143,32924,1,-155,-186,9826
269,32223,32924,1,-150,-438,9696
270,32304,32924,1,-122,-347,9771
271,32384,32924,1,55,-397,9792
272,32464,32924,1,158,-474,9651
273,32545,32924,1,102,-490,9816
274,32625,33927,1,287,-806,9601
275,32706,33928,1,38,-598,9708
276,32786,33928,1,95,-466,9723
277,32866,33928,1,69,-656,9536
278,32947,33928,1,155,-610,9735
279,33027,33928,1,225,-706,9692
280,33107,33928,1,136,-694,9838
281,33188,33928,1,169,-610,9567
282,33268,33928,1,318,-569,9536
283,33348,33928,1,90,-584,9876
284,33428,33928,1,306,-852,9780
285,33509,33928,1,148,-766,9610
286,33589,33928,1,-40,-521,9672
287,33669,34931,1,148,-507,9672
288,33750,34931,1,38,-644,9680
289,33830,34931,1,191,-670,9735
290,33911,34931,1,52,-560,9778
291,33991,34931,1,138,-744,9775
292,34072,34931,1,-2,-617,9687
293,34152,34931,1,93,-730,9689
294,34233,34931,1,76,-876,9787
295,34313,34931,1,146,-821,9838
296,34394,34931,1,-375,550,9806
297,34474,34931,1,-38,153,9680
298,34555,34931,1,-19,158,9624
299,34635,35964,1,-40,292,9826
300,34716,35964,1,50,134,9775
301,34796,35964,1,100,-31,9723
302,34876,35964,1,-95,-90,9802
303,34957,35964,1,-246,98,9830
304,35037,35964,1,-110,2,9687
305,35118,35964,1,-203,35,9706
306,35198,35964,1,-246,-131,9651
307,35278,35964,1,-69,-100,9727
308,35359,35964,1,-210,-299,9696
309,35439,35964,1,-241,-28,9804
310,35520,35964,1,-124,-277,9730
311,35600,35964,1,-138,-301,9653
312,35680,36960,1,-129,-308,9711
313,35761,36960,1,-292,-105,9842
314,35841,36960,1,35,-423,9794
315,35921,36961,1,459,-890,9651
316,36001,36961,1,2,-93,9967
317,36082,36961,1,-284,-150,9806
318,36162,36961,1,-126,-351,9622
319,36242,36961,1,-392,-723,9706
320,36322,36961,1,-143,-754,9545
321,36403,36961,1,-383,-483,9624
322,36483,36961,1,-505,-102,9689
323,36563,36961,1,-146,-735,9761
324,36643,37958,1,-476,-629,9481
325,36724,37958,1,-184,-387,9775
326,36804,37958,1,-225,-318,9699
327,36884,37958,1,-150,-524,9768
328,36965,37958,1,-124,-782,9653
329,37045,37958,1,-112,-679,9780
330,37125,37958,1,-81,270,9775
331,37206,37958,1,-251,-191,9723
332,37286,37958,1,-114,-268,9821
333,37366,37958,1,-155,-440,9677
334,37446,37958,1,-193,-514,9672
335,37527,37958,1,-95,-512,9703
336,37607,37958,1,-198,-277,9756
337,37687,38962,1,-234,328,9768
338,37768,38962,1,-131,114,9876
339,37848,38962,1,-162,40,9830
340,37929,38962,1,-174,-347,9644
341,38009,38962,1,-134,-16,9723
342,38089,38962,1,-201,-74,9790
343,38170,38962,1,-117,-117,9823
344,38250,38963,1,-201,-95,9890
345,38331,38963,1,-124,-423,9744
346,38411,38963,1,-184,-328,9744
347,38491,38963,1,-225,-335,9636
348,38572,38963,1,-184,-112,9713
349,38652,39966,1,-162,-397,9732
350,38733,39966,1,-100,-543,9713
351,38813,39966,1,-124,-526,9620
352,38894,39966,1,-110,-107,9802
353,38974,39966,1,-347,490,9634
354,39055,39966,1,-110,-191,9601
355,39135,39966,1,21,-196,9744
356,39216,39966,1,-114,126,9876
357,39297,39966,1,-174,143,9862
358,39377,39966,1,-67,-114,9751
359,39458,39966,1,43,-165,9658
360,39538,39966,1,-57,-198,9682
361,39619,39966,1,4,-67,9754
362,39699,40750,1,9,-603,9718
363,39780,40750,1,-19,-395,9555
364,39860,40750,1,155,-265,9742
365,39940,40750,1,210,-591,9960
366,40021,40750,1,95,-225,9696
367,40101,40750,1,95,-464,9641
368,40181,40750,1,153,-375,9802
369,40262,40750,1,98,-225,9763
370,40342,40750,1,114,-481,9677
371,40422,40750,1,150,-543,9718
372,40503,40750,1,93,-337,9644
373,40583,40750,1,148,-359,9809
374,40663,41752,1,47,-445,9806
375,40740,41753,1,165,-244,9732
376,40820,41753,1,148,-392,9739
377,40900,41753,1,105,-495,9670
378,40980,41753,1,62,-811,9718
379,41060,41753,1,64,-167,9706
380,41140,41753,1,74,-205,9794
381,41220,41753,1,83,-399,9694
382,41300,41753,1,43,-464,9751
383,41380,41753,1,143,-581,9778
384,41460,41753,1,52,-481,9739
385,41540,41753,1,-71,-93,9799
386,41620,42755,1,-7,-445,9672
387,41700,42755,1,107,-620,9792
388,41779,42755,1,-19,-749,9651
389,41859,42755,1,0,-426,9603
390,41939,42755,1,-47,-83,9905
391,42018,42755,1,-83,-313,9720
392,42098,42755,1,110,-572,9766
393,42178,42755,1,-162,-409,9747
394,42257,42755,1,57,-428,9751
395,42337,42755,1,-47,-416,9737
396,42417,42755,1,81,-687,9701
397,42496,42755,1,-9,-533,9744
398,42576,43760,1,-26,-502,9732
399,42656,43760,1,-50,-330,9806
400,42736,43760,1,-26,-469,9715
401,42816,43760,1,31,-325,9847
402,42896,43760,1,50,-445,9747
403,42976,43760,1,4,-553,9725
404,43056,43760,1,45,-651,9656
405,43136,43760,1,52,-653,9684
406,43216,43760,1,7,-658,9632
407,43296,43760,1,26,-830,9730
408,43376,43760,1,-4,-624,9668
409,43456,43760,1,-47,-409,9814
410,43536,43760,1,-16,-397,9660
411,43616,43760,1,-52,-612,9586
412,43696,44764,1,2,-699,9744
413,43777,44764,1,-35,-457,9610
414,43857,44764,1,-122,-380,9692
415,43937,44764,1,4,-498,9687
416,44018,44764,1,-57,-474,9754
417,44098,44764,1,-90,-428,9718
418,44178,44764,1,71,-708,9677
419,44259,44765,1,88,-888,9706
420,44339,44765,1,-134,-160,9804
421,44419,44765,1,-275,-847,9500
422,44500,44765,1,-172,-744,9665
423,44580,44765,1,-158,-418,9701
424,44660,46068,1,23,-557,9557
425,44747,46068,1,-837,-493,9505
426,44827,46068,1,16,339,10115
427,44907,46068,1,701,-787,9581
428,44987,46068,1,-768,14,9708
429,45067,46068,1,-201,-256,9622
430,45147,46068,1,-165,64,9727
431,45227,46068,1,-225,509,9639
432,45307,46068,1,-210,993,9873
433,45387,46068,1,-387,809,9763
434,45467,46068,1,-313,950,9838
435,45547,46068,1,-284,550,9811
436,45627,47072,1,-205,426,9636
437,45707,47072,1,-160,660,9921
438,45787,47072,1,-234,569,9766
439,45867,47072,1,-148,368,9658
440,45947,47072,1,-201,454,9806
441,46028,47072,1,-268,349,9814
442,46108,47072,1,-169,201,9615
443,46188,47072,1,-67,210,9847
444,46269,47072,1,-148,198,9785
445,46349,47072,1,-143,225,9759
446,46429,47072,1,-165,287,9787
447,46510,47072,1,-148,249,9785
448,46590,47072,1,-150,150,9639
449,46670,48075,1,-136,45,9670
450,46751,48076,1,-196,469,9847
451,46831,48076,1,-215,354,9787
452,46911,48076,1,-141,141,9718
453,46991,48076,1,-114,153,9771
454,47072,48076,1,-167,134,9850
455,47152,48076,1,-129,260,9794
456,47232,48076,1,-148,112,9727
457,47313,48076,1,-143,119,9802
458,47393,48076,1,-107,189,9826
459,47473,48076,1,-160,26,9703
460,47554,48076,1,-158,162,9675
461,47634,48076,1,-167,-9,9816
462,47714,49115,1,-76,203,9790
463,47799,49115,1,-86,155,9806
464,47879,49115,1,-193,102,9763
465,47959,49115,1,-119,23,9826
466,48039,49115,1,-141,-38,9651
467,48119,49115,1,-83,148,9854
468,48199,49115,1,-74,-28,9747
469,48279,49115,1,-160,-14,9699
470,48359,49115,1,-55,-47,9785
471,48439,49115,1,-122,124,9818
472,48519,49115,1,-122,-52,9689
473,48599,50118,1,-160,14,9715
474,48679,50118,1,-143,28,9809
475,48759,50118,1,-153,14,9713
476,48839,50118,1,-143,-21,9751
477,48919,50118,1,-227,-7,9680
478,49000,50118,1,-158,-74,9830
479,49080,50118,1,-129,88,9814
480,49161,50118,1,-26,-318,9687
481,49241,50118,1,-148,-95,9610
482,49321,50118,1,-40,-21,9850
483,49402,50118,1,-146,203,9761
484,49482,50118,1,-81,33,9766
485,49563,50118,1,-124,-31,9703
486,49643,50118,1,-64,-141,9806
487,49723,51122,1,-47,9,9677
488,49804,51122,1,-251,35,9818
489,49884,51122,1,-165,79,9694
490,49964,51122,1,-146,-83,9780
491,50045,51122,1,-105,9,9742
492,50125,51122,1,-208,129,9881
493,50205,51122,1,-45,28,9862
494,50286,51123,1,-158,55,9754
495,50366,51123,1,-189,-93,9754
496,50446,51123,1,-95,105,9783
497,50527,51123,1,-205,-7,9730
498,50607,51123,1,-155,-162,9703
499,50687,52125,1,-215,-136,9596
500,50768,52125,1,19,-241,9749
501,50848,52125,1,-43,21,9811
502,50929,52125,1,-7,-64,9783
503,51009,52125,1,-45,-119,9718
504,51090,52125,1,9,-110,9692
505,51171,52125,1,-57,-210,9589
506,51251,52125,1,-16,-95,9804
507,51332,52125,1,90,131,9818
508,51413,52125,1,16,-14,9703
509,51493,52125,1,83,-134,9713
510,51574,52125,1,93,-268,9751
511,51655,52125,1,52,-162,9708
512,51735,53129,1,-9,-138,9806
513,51816,53129,1,64,-208,9670
514,51898,53129,1,98,-79,9799
515,51980,53129,1,21,-335,9725
516,52061,53129,1,21,-134,9780
517,52143,53129,1,-43,-117,9735
518,52224,53129,1,21,-191,9747
519,52306,53129,1,-31,-35,9811
520,52388,53129,1,16,-265,9703
521,52469,53129,1,-79,-146,9706
522,52551,53129,1,64,-162,9854
523,52632,53129,1,16,-294,9610
524,52714,54125,1,117,-150,9826
525,52796,54126,1,-28,-289,9684
526,52875,54126,1,40,-395,9584
527,52955,54126,1,-7,-258,9768
528,53035,54126,1,-45,-241,9703
529,53114,54126,1,-55,-181,9778
530,53194,54126,1,26,-50,9785
531,53274,54126,1,11,-165,9852
532,53353,54126,1,-90,-79,9730
533,53433,54126,1,-14,-141,9780
534,53513,54126,1,169,2,9778
535,53592,54126,1,-90,555,10041
536,53672,55129,1,2727,1936,9751
537,53752,55129,1,131,-1757,10029
538,53829,55129,1,-263,-1793,9383
539,53909,55129,1,-794,-2916,9191
540,53989,55129,1,-1297,-4865,7558
541,54069,55129,1,-1934,-6636,5772
542,54149,55129,1,-2645,-8245,4261
543,54229,55129,1,-2983,-7563,4130
544,54309,55129,1,-3107,-8880,3193
545,54389,55129,1,-3251,-8722,3596
546,54469,55129,1,-3038,-8375,3282
547,54549,55129,1,-3023,-8073,3675
548,54629,56132,1,-2897,-7886,3933
549,54709,56132,1,-2985,-8444,4048
550,54789,56132,1,-2683,-8255,4225
551,54869,56132,1,-2968,-7740,4417
552,54949,56132,1,-3074,-8023,3981
553,55029,56132,1,-3007,-8116,3962
554,55109,56132,1,-2875,-8174,4094
555,55189,56132,1,-3071,-8083,4142
556,55269,56132,1,-3172,-7862,3986
557,55350,56132,1,-2863,-8166,4115
558,55430,56132,1,-2942,-8126,4134
559,55510,56132,1,-2980,-7975,4103
560,55590,56132,1,-2865,-7925,3969
561,55670,56132,1,-2856,-8126,4178
562,55750,57137,1,-2942,-7941,4259
563,55831,57137,1,-2906,-8025,4115
564,55911,57137,1,-2909,-8111,4139
565,55991,57137,1,-2897,-8059,4333
566,56072,57137,1,-2892,-7968,4142
567,56152,57137,1,-2885,-8023,4245
568,56232,57137,1,-2954,-8128,4285
569,56313,57137,1,-2889,-7939,4252
570,56393,57137,1,-3009,-7711,4189
571,56473,57137,1,-2952,-8047,4197
572,56554,57137,1,-3004,-8274,4024
573,56634,57137,1,-3244,-8159,3723
574,56714,57821,1,-2988,-7910,3713
575,56799,57821,1,-3232,-8257,3909
576,56879,57821,1,-3177,-8063,3881
577,56959,57821,1,-3239,-8178,3945
578,57039,57821,1,-3715,-7714,4369
579,57119,57821,1,-3407,-7807,4292
580,57199,57821,1,-2748,-7161,5394
581,57279,57821,1,-2600,-6088,7029
582,57359,57821,1,-2039,-5832,7790
583,57439,57821,1,-1946,-5095,8071
584,57519,57821,1,-1759,-5439,8367
585,57599,57821,1,-1723,-5858,6974
586,57679,58986,1,-2181,-5490,7929
587,57759,58986,1,-2193,-5684,7237
588,57845,58986,1,-2205,-5851,7304
589,57925,58986,1,-2178,-5609,7209
590,58005,58986,1,-2257,-5221,7762
591,58085,58986,1,-1920,-4767,8214
592,58165,58986,1,-1786,-4680,8145
593,58245,58986,1,-1783,-3866,8765
594,58325,58986,1,-1505,-4027,8686
595,58405,58986,1,-1668,-3335,8605
596,58485,58986,1,-1388,-3550,8406
597,58565,58986,1,-1376,-3888,9136
598,58645,59989,1,-1199,-3213,8739
599,58725,59989,1,-1199,-3447,8844
600,58805,59989,1,-1144,-3028,9232
601,58885,59989,1,-1151,-2576,9277
602,58965,59989,1,-1309,-3462,8956
603,59045,59989,1,-1225,-3507,8578
604,59126,59989,1,-1309,-3356,8849
605,59206,59989,1,-1103,-3486,9052
606,59286,59989,1,-1553,-1582,9064
607,59367,59989,1,-1338,-2559,8873
608,59447,59989,1,-744,-1762,9454
609,59527,59989,1,-917,-1374,9572
610,59608,59989,1,-560,-1640,9574
611,59688,59989,1,-375,-996,9660
