seq,sensor_ts_ms,arrival_ms,batch,x_mg,y_mg,z_mg
0,10583,11862,1,-1872,464,9732
1,10663,11862,1,-143,-926,9493
2,10743,11862,1,1558,105,10838
3,10823,11862,1,2734,-3986,9134
4,10904,11862,1,368,57,9747
5,10984,11862,1,193,-79,9823
6,11064,11862,1,335,69,9720
7,11145,11862,1,292,-249,9725
8,11225,11862,1,356,-160,9828
9,11305,11862,1,189,-371,9682
10,11386,11862,1,153,-165,9735
11,11466,11862,1,237,-186,9799
12,11546,11862,1,165,-395,9701
13,11627,12866,1,383,-229,9744
14,11707,12866,1,280,-208,9794
15,11788,12866,1,308,-725,9622
16,11868,12866,1,71,-2341,9347
17,11949,12866,1,411,-2418,9371
18,12029,12866,1,249,-2353,9428
19,12110,12866,1,344,-2592,9306
20,12190,12866,1,306,-2437,9414
21,12271,12866,1,189,-2518,9380
22,12351,12866,1,299,-2549,9340
23,12432,12866,1,234,-2463,9292
24,12512,12866,1,311,-2585,9387
25,12593,13869,1,249,-2449,9292
26,12673,13869,1,325,-2559,9378
27,12753,13869,1,375,-2499,9411
28,12834,13870,1,351,-2468,9308
29,12914,13870,1,316,-2372,9445
30,12995,13870,1,284,-2595,9280
31,13075,13870,1,361,-2437,9373
32,13155,13870,1,543,-2200,9431
33,13236,13870,1,114,-3100,9052
34,13316,13870,1,83,-5454,7874
35,13397,13870,1,79,-4714,8207
36,13477,13870,1,126,-5006,8377
37,13557,13870,1,162,-4946,8097
38,13638,14873,1,129,-4965,8281
39,13718,14873,1,174,-4860,8320
40,13798,14873,1,179,-4759,8341
41,13879,14873,1,110,-4929,8279
42,13959,14873,1,153,-4810,8348
43,14039,14873,1,203,-4793,8348
44,14120,14873,1,143,-5224,8008
45,14200,14873,1,95,-3062,9261
46,14280,14873,1,344,-3208,9110
47,14361,14873,1,452,-1788,9562
48,14441,14873,1,380,-758,10012
49,14521,14873,1,-69,-304,9948
50,14602,15877,1,-26,-701,10357
51,14682,15877,1,-215,466,10290
52,14762,15877,1,122,766,9335
53,14843,15877,1,493,1996,9399
54,14923,15877,1,747,1515,9905
55,15004,15878,1,890,1867,9502
56,15084,15878,1,416,3000,9644
57,15164,15878,1,668,3414,9423
58,15245,15878,1,917,3306,9043
59,15325,15878,1,1007,3744,9064
60,15406,15878,1,1039,3770,9012
61,15486,15878,1,1022,4108,8971
62,15566,15878,1,1019,4213,8846
63,15647,16881,1,1235,4295,8808
64,15727,16881,1,1209,4570,8775
65,15808,16881,1,1338,4541,8686
66,15888,16881,1,1199,4491,8566
67,15969,16881,1,1252,4690,8612
68,16050,16881,1,1383,4953,8542
69,16130,16881,1,1314,4920,8571
70,16211,16881,1,1328,4577,8504
71,16291,16881,1,1386,4807,8616
72,16372,16881,1,1426,4623,8578
73,16452,16881,1,1470,4747,8674
74,16533,16881,1,1266,4709,8763
75,16614,17884,1,1259,4613,9012
76,16695,17884,1,933,4134,8966
77,16777,17884,1,962,3823,8870
78,16858,17884,1,1185,3371,8964
79,16940,17884,1,316,3730,9153
80,17022,17884,1,-71,4065,9572
81,17103,17884,1,-174,3668,9261
82,17185,17884,1,-821,2770,9191
83,17266,17884,1,-1264,2578,9318
84,17348,17884,1,-1965,1901,9316
85,17430,17884,1,-2248,2243,9028
86,17511,17884,1,-2743,2346,8935
87,17593,17884,1,-2645,2372,9110
88,17673,18887,1,-2892,2188,9205
89,17753,18887,1,-3155,1534,8664
90,17833,18887,1,-3644,1381,8739
91,17912,18887,1,-3900,1766,8894
92,17992,18887,1,-3672,2140,8676
93,18072,18888,1,-3881,1822,8509
94,18151,18888,1,-4041,1879,8332
95,18231,18888,1,-4118,1790,8083
96,18311,18888,1,-4379,1441,8296
97,18390,18888,1,-2554,1012,8705
98,18470,18888,1,-837,76,9562
99,18550,18888,1,-83,383,9603
100,18630,19890,1,1249,1934,10807
101,18709,19890,1,2015,1843,9062
102,18789,19890,1,591,1762,9862
103,18868,19890,1,-768,2269,9433
104,18948,19890,1,972,2248,8885
105,19028,19890,1,1762,1936,10225
106,19107,19890,1,1898,3917,9380
107,19187,19890,1,1673,4551,9385
108,19266,19890,1,3653,6691,11154
109,19346,19890,1,2044,1419,8176
110,19426,19890,1,957,1125,9754
111,19505,19890,1,-31,538,9220
112,19585,19890,1,-181,1580,9569
113,19665,20922,1,167,1163,9744
114,19745,20922,1,-119,1192,9608
115,19826,20922,1,-55,1206,9730
116,19906,20922,1,-117,1089,9636
117,19986,20922,1,-31,1075,9742
118,20067,20922,1,-79,1154,9703
119,20147,20922,1,-40,993,9675
120,20228,20922,1,43,914,9725
